Plot,Feeder,Time,Invasive,Veg Type,Species,Height,Browse
LV1,Y,2018,Native,Vine,Blackberry,40,
LV1,Y,2018,Invasive,Vine,Japanese Honeysuckle,5,
LV1,Y,2018,Invasive,Vine,Japanese Honeysuckle,30,
LV1,Y,2018,Invasive,Vine,Japanese Honeysuckle,5,
LV1,Y,2018,Invasive,Vine,Japanese Honeysuckle,40,
LV1,Y,2018,Invasive,Vine,Japanese Honeysuckle,30,
LV1,Y,2018,Invasive,Vine,Japanese Honeysuckle,40,
LV1,Y,2018,Invasive,Vine,Japanese Honeysuckle,20,
LV1,Y,2018,Invasive,Vine,Japanese Honeysuckle,5,
LV1,Y,2018,Invasive,Vine,Japanese Honeysuckle,5,
LV1,Y,2018,Invasive,Vine,Japanese Honeysuckle,5,
LV1,Y,2018,Invasive,Vine,Japanese Honeysuckle,50,
LV1,Y,2018,Native,Vine,Muscadine,10,
LV1,Y,2018,Native,Vine,Poison Ivy,20,
LV1,Y,2018,Native,Vine,Smilax,20,
LV1,Y,2018,Native,Vine,Smilax,20,
LV1,N,2018,Invasive,Vine,Japanese Honeysuckle,5,
LV1,N,2018,Invasive,Vine,Japanese Honeysuckle,30,
LV1,N,2018,Invasive,Vine,Japanese Honeysuckle,5,
LV1,N,2018,Invasive,Vine,Japanese Honeysuckle,40,
LV1,N,2018,Invasive,Vine,Japanese Honeysuckle,30,
LV1,N,2018,Invasive,Vine,Japanese Honeysuckle,40,
LV1,N,2018,Invasive,Vine,Japanese Honeysuckle,20,
LV1,N,2018,Invasive,Vine,Japanese Honeysuckle,5,
LV1,N,2018,Invasive,Vine,Japanese Honeysuckle,5,
LV1,N,2018,Invasive,Vine,Japanese Honeysuckle,5,
LV1,N,2018,Invasive,Vine,Japanese Honeysuckle,50,
LV1,N,2018,Native,Vine,Blackberry,40,
LV1,N,2018,Native,Vine,Muscadine,10,
LV1,N,2018,Native,Vine,Poison Ivy,20,
LV1,N,2018,Native,Vine,Smilax,20,
LV1,N,2018,Native,Vine,Smilax,20,
LV2,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
LV2,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
LV2,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
LV2,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
LV2,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
LV2,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
LV2,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
LV2,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
LV2,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
LV2,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
LV2,N,2018,Native,Vine,Poison Ivy,10,
LV2,N,2018,Native,Vine,Poison Ivy,20,
LV2,N,2018,Native,Vine,Muscadine,10,
LV2,N,2018,Native,Vine,Muscadine,20,
LV2,N,2018,Native,Forb,Golden Rod,90,
LV2,N,2018,Native,Forb,Golden Rod,40,
LV2,N,2018,Native,Tree,Loblolly Pine,70,
LV2,N,2018,Native,Vine,Blackberry,45,
LV2,N,2018,Native,Vine,Blackberry,25,
LV2,N,2018,Native,Vine,Blackberry,35,
LV2,Y,2018,Native,Tree,Winged Elm,80,
LV2,Y,2018,Native,Tree,Winged Elm,140,
LV2,Y,2018,Native,Vine,Blackberry,20,
LV2,Y,2018,Native,Vine,Blackberry,10,
LV2,Y,2018,Native,Vine,Poison Ivy,10,
LV2,Y,2018,Native,Tree,Blackgum,150,
LV2,Y,2018,Native,Tree,Red maple,100,
LV2,Y,2018,Invasive,Vine,Japanese Honeysuckle,40,
LV3,N,2018,Invasive,Vine,Japanese Honeysuckle,30,
LV3,N,2018,Invasive,Vine,Japanese Honeysuckle,30,
LV3,N,2018,Invasive,Vine,Japanese Honeysuckle,20,
LV3,N,2018,Invasive,Vine,Japanese Honeysuckle,20,
LV3,N,2018,Invasive,Vine,Japanese Honeysuckle,20,
LV3,N,2018,Invasive,Vine,Japanese Honeysuckle,20,
LV3,N,2018,Invasive,Vine,Japanese Honeysuckle,20,
LV3,N,2018,Invasive,Vine,Japanese Honeysuckle,20,
LV3,N,2018,Invasive,Vine,Japanese Honeysuckle,20,
LV3,N,2018,Invasive,Vine,Japanese Honeysuckle,20,
LV3,N,2018,Invasive,Vine,Japanese Honeysuckle,20,
LV3,N,2018,Invasive,Vine,Japanese Honeysuckle,20,
LV3,N,2018,Invasive,Vine,Japanese Honeysuckle,20,
LV3,N,2018,Invasive,Vine,Japanese Honeysuckle,20,
LV3,N,2018,Invasive,Vine,Japanese Honeysuckle,20,
LV3,N,2018,Invasive,Vine,Japanese Honeysuckle,20,
LV3,N,2018,Invasive,Vine,Japanese Honeysuckle,20,
