Plot,Time,Feeder Y/N,Direction,Transect,Meter,Invasive,Veg Type,Species,Height,Browse,Browse percentage,Bite count,Total stems,Family,,Notes
LV1,2018,Y,SE,2,1,Native,Vine,Blackberry,40,,,,,Rosaceae,,
LV1,2018,Y,SE,2,2,Invasive,Vine,Japanese Honeysuckle,10,,,,,Caprifoliaceae,,
LV1,2018,Y,SE,2,3,na,Bare Ground,Bare Ground,0,,,,,inanimate,,
LV1,2018,Y,SE,2,4,Native,Tree,Sweetgum,130,,,,,Hammamelidaceae,,
LV1,2018,Y,SE,2,4,Invasive,Vine,Japanese Honeysuckle,10,,,,,Caprifoliaceae,,
LV1,2018,Y,SE,2,5,Invasive,Vine,Japanese Honeysuckle,10,,,,,Caprifoliaceae,,
LV1,2018,Y,SE,2,5,Native,Vine,Poison Ivy,15,,,,,Anacardiaceae,,
LV1,2018,Y,SE,2,6,Native,Vine,Blackberry,20,,,,,Rosaceae,,
LV1,2018,Y,SE,2,6,Invasive,Vine,Japanese Honeysuckle,5,,,,,Caprifoliaceae,,
LV1,2018,Y,SE,2,7,Invasive,Vine,Japanese Honeysuckle,35,,,,,Caprifoliaceae,,
LV1,2018,Y,SE,2,7,Native,Grass,Silver Plumegrass,30,,,,,Poaceae,,
LV1,2018,Y,SE,2,8,Invasive,Vine,Japanese Honeysuckle,40,,,,,Caprifoliaceae,,
LV1,2018,Y,SE,2,8,Native,Grass,Rush,30,,,,,Juncaceae,,
LV1,2018,Y,SE,2,9,Native,Tree,Red Maple,65,,,,,Aceraceae,,
LV1,2018,Y,SE,2,10,Native,Forb,Goldenrod,110,,,,,Asteraceae,,
LV1,2018,Y,SE,2,10,Native,Tree,Post Oak,90,,,,,Fagaceae,,
LV1,2018,Y,SE,2,10,Invasive,Vine,Japanese Honeysuckle,10,,,,,Caprifoliaceae,,
LV1,2018,Y,SE,2,11,Native,Shrub,Eastern Baccharis,80,,,,,Asteraceae,,
LV1,2018,Y,SE,2,11,Native,Grass,Silver Plumegrass,30,,,,,Poaceae,,
LV1,2018,Y,SE,2,12,Invasive,Vine,Japanese Honeysuckle,5,,,,,Caprifoliaceae,,
LV1,2018,Y,SE,2,12,Native,Grass,Sedge,30,,,,,Cyperaceae,,
LV1,2018,Y,SE,2,13,Invasive,Vine,Japanese Honeysuckle,5,,,,,Caprifoliaceae,,
LV1,2018,Y,SE,2,13,Native,Grass,Spike Grass,30,,,,,Poaceae,,
LV1,2018,Y,SE,2,13,Native,Vine,Virginia Creeper,15,,,,,Vitaceae,,
LV1,2018,Y,SE,2,14,Invasive,Vine,Japanese Honeysuckle,10,,,,,Caprifoliaceae,,
LV1,2018,Y,SE,2,14,Native,Grass,Spike Grass,50,,,,,Poaceae,,
LV1,2018,Y,SE,2,15,Native,Forb,Yellow Woodsorrel,5,,,,,Oxalidaceae,,
LV1,2018,Y,SE,2,16,Invasive,Vine,Japanese Honeysuckle,10,,,,,Caprifoliaceae,,
LV1,2018,Y,SE,2,17,Native,Tree,Turkey Oak,50,,,,,Fagaceae,,
LV1,2018,Y,SE,2,17,Invasive,Vine,Japanese Honeysuckle,50,,,,,Caprifoliaceae,,
LV1,2018,Y,SE,2,18,Native,Grass,Silver Plumegrass,20,,,,,Poaceae,,
LV1,2018,Y,SE,2,19,Native,Tree,Sweetgum,140,,,,,Hammamelidaceae,,
LV1,2018,Y,SE,2,20,Invasive,Vine,Japanese Honeysuckle,4,,,,,Caprifoliaceae,,
LV1,2018,Y,SE,2,21,Native,Tree,Sweetgum,160,,,,,Hammamelidaceae,,
LV1,2018,Y,SE,2,22,Native,Tree,Sweetgum,40,,,,,Hammamelidaceae,,
LV1,2018,Y,SE,2,23,Native,Tree,Sweetgum,150,,,,,Hammamelidaceae,,
LV1,2018,Y,SE,2,23,Invasive,Vine,Japanese Honeysuckle,150,,,,,Caprifoliaceae,,
LV1,2018,Y,SE,2,24,na,Bare Ground,Bare Ground,0,,,,,inanimate,,
LV1,2018,Y,SE,2,25,na,Bare Ground,Bare Ground,0,,,,,inanimate,,
LV1,2018,Y,SE,2,26,Native,Tree,Winged Elm,160,,,,,Ulmaceae,,
LV1,2018,Y,SE,2,27,Invasive,Vine,Japanese Honeysuckle,20,,,,,Caprifoliaceae,,
LV1,2018,Y,SE,2,28,Native,Tree,Winged Elm,140,,,,,Ulmaceae,,
LV1,2018,Y,SE,2,29,Native,Tree,Post Oak,20,,,,,Fagaceae,,
LV1,2018,Y,SE,2,30,Native,Tree,Pignut Hickory,40,,,,,Juglandaceae,,
LV1,2018,Y,SE,2,30,Native,Tree,Winged Elm,50,,,,,Ulmaceae,,
LV1,2018,Y,SE,2,31,Invasive,Vine,Japanese Honeysuckle,10,,,,,Caprifoliaceae,,
LV1,2018,Y,SE,2,32,Native,Vine,Blackberry,35,,,,,Rosaceae,,
