Plot,Time,Treatment,Direction,Meter,Invasive,Veg Type,Species,Height,Browsed,NOTES
77,5,F,300,1,na,na,bare ground,-,,
77,5,F,300,2,na,na,bare ground,-,,
77,5,F,300,3,na,na,bare ground,-,,
77,5,F,300,4,Native,Grass,sedge,20,,
77,5,F,300,5,Native,forb,bluntleaf bedstraw,10,,
77,5,F,300,6,na,na,litter,-,,
77,5,F,300,7,native,na,Panicum Grass,5,,
77,5,F,300,8,na,na,litter,-,,
77,5,F,300,9,na,na,litter,-,,
77,5,F,300,10,native,na,Dichanthelium,60,,
77,5,F,300,11,na,na,bare ground,-,,
77,5,F,300,12,na,na,bare ground,-,,
77,5,F,300,13,na,na,litter,-,,
77,5,F,300,14,native,na,violet,5,,
77,5,F,300,15,na,na,litter,-,,
77,5,F,300,16,na,na,litter,-,,
77,5,F,300,17,na,na,litter,-,,
77,5,F,300,18,na,na,coarse woody debris,-,,
77,5,F,300,19,na,na,coarse woody debris,-,,
77,5,F,300,20,na,na,coarse woody debris,-,,
77,5,F,300,21,Native,forb,aster,30,,
77,5,F,300,22,Native,Grass,spike grass,60,,
77,5,F,300,23,na,na,bare ground,-,,
77,5,F,300,24,na,na,litter,-,,
77,5,F,300,25,na,na,coarse woody debris,-,,
77,5,F,300,26,na,na,litter,-,,
77,5,F,300,27,na,na,litter,-,,
77,5,F,300,28,na,na,litter,-,,
77,5,F,300,29,na,na,litter,-,,
77,5,F,300,30,native,na,sedge,30,,
77,5,F,300,31,Native,Grass,sedge,30,,
77,5,F,300,32,Native,Grass,bluntleaf bedstraw,5,,
77,5,F,300,33,Native,forb,bluntleaf bedstraw,5,,
77,5,F,300,34,Native,forb,bluntleaf bedstraw,5,,
77,5,F,300,35,na,na,litter,-,,
77,5,F,300,36,na,na,litter,-,,
77,5,F,300,37,na,na,litter,-,,
77,5,F,300,38,na,na,litter,-,,
77,5,F,300,39,na,na,litter,-,,
77,5,F,300,40,na,na,litter,-,,
77,5,F,300,41,Native,Tree,sweetgum,10,,
77,5,F,300,42,na,na,bare ground,-,,
77,5,F,300,43,na,na,coarse woody debris,-,,
77,5,F,300,44,na,na,litter,-,,
77,5,F,300,45,Native,Grass,sedge,15,,
77,5,F,300,46,na,na,litter,-,,
77,5,F,300,47,na,na,coarse woody debris,-,,
77,5,F,300,48,na,na,coarse woody debris,-,,
77,5,F,300,49,na,na,coarse woody debris,-,,
77,5,F,300,50,na,na,bare ground,-,,
77,5,F,230,1,na,na,bare ground,-,,
77,5,F,230,2,na,na,bare ground,-,,
77,5,F,230,3,Native,Grass,sedge,30,,
77,5,F,230,4,Native,forb,smartweed,10,,
77,5,F,230,5,Native,Grass,sedge,20,,
77,5,F,230,6,Native,forb,smartweed,30,,
77,5,F,230,7,Native,forb,bluntleaf bedstraw,10,,
77,5,F,230,8,na,na,litter,-,,
77,5,F,230,9,na,na,litter,-,,
